02:05:14 | INFO | Creating new authentication session
02:05:21 | INFO | Navigating to https://crm.anhtester.com/admin
02:05:25 | INFO | Authenticated as: admin@example.com
02:05:35 | INFO | Navigating to https://crm.anhtester.com/admin
02:05:39 | INFO | Authenticated as: admin@example.com
02:05:44 | INFO | Navigating to https://crm.anhtester.com/admin
02:05:48 | INFO | Authenticated as: admin@example.com
02:06:04 | INFO | Navigating to https://crm.anhtester.com/admin
02:06:07 | INFO | Authenticated as: admin@example.com
02:06:27 | INFO | Navigating to https://crm.anhtester.com/admin
02:06:31 | INFO | Authenticated as: admin@example.com
02:06:31 | INFO | Navigating to https://crm.anhtester.com/admin
02:06:35 | INFO | Authenticated as: admin@example.com
02:06:35 | INFO | Navigating to https://crm.anhtester.com/admin
02:06:39 | INFO | Authenticated as: admin@example.com
02:06:40 | INFO | Navigating to https://crm.anhtester.com/admin
02:06:44 | INFO | Authenticated as: admin@example.com
02:06:44 | INFO | Navigating to https://crm.anhtester.com/admin
02:06:48 | INFO | Authenticated as: admin@example.com
02:06:49 | INFO | Navigating to https://crm.anhtester.com/admin
02:06:52 | INFO | Authenticated as: admin@example.com
02:06:57 | INFO | Navigating to https://crm.anhtester.com/admin
02:07:01 | INFO | Authenticated as: admin@example.com
02:07:01 | INFO | Navigating to https://crm.anhtester.com/admin
02:07:05 | INFO | Authenticated as: admin@example.com
02:07:05 | INFO | Navigating to https://crm.anhtester.com/admin
02:07:09 | INFO | Authenticated as: admin@example.com
02:07:09 | ERROR | Test failed. Screenshot saved: screenshots/test_verify_progress_bar[project_progress].png
