02:09:41 | INFO | Creating new authentication session
02:09:48 | INFO | Navigating to https://crm.anhtester.com/admin
02:09:53 | INFO | Authenticated as: admin@example.com
02:10:04 | INFO | Navigating to https://crm.anhtester.com/admin
02:10:08 | INFO | Authenticated as: admin@example.com
02:10:15 | INFO | Navigating to https://crm.anhtester.com/admin
02:10:19 | INFO | Authenticated as: admin@example.com
02:10:36 | INFO | Navigating to https://crm.anhtester.com/admin
02:10:40 | INFO | Authenticated as: admin@example.com
02:11:02 | INFO | Navigating to https://crm.anhtester.com/admin
02:11:06 | INFO | Authenticated as: admin@example.com
02:11:07 | INFO | Navigating to https://crm.anhtester.com/admin
02:11:11 | INFO | Authenticated as: admin@example.com
02:11:11 | INFO | Navigating to https://crm.anhtester.com/admin
02:11:16 | INFO | Authenticated as: admin@example.com
02:11:17 | INFO | Navigating to https://crm.anhtester.com/admin
02:11:21 | INFO | Authenticated as: admin@example.com
02:11:21 | INFO | Navigating to https://crm.anhtester.com/admin
02:11:25 | INFO | Authenticated as: admin@example.com
02:11:26 | INFO | Navigating to https://crm.anhtester.com/admin
02:11:30 | INFO | Authenticated as: admin@example.com
02:11:36 | INFO | Navigating to https://crm.anhtester.com/admin
02:11:40 | INFO | Authenticated as: admin@example.com
02:11:40 | INFO | Navigating to https://crm.anhtester.com/admin
02:11:46 | INFO | Authenticated as: admin@example.com
02:11:46 | INFO | Navigating to https://crm.anhtester.com/admin
02:11:51 | INFO | Authenticated as: admin@example.com
02:11:51 | ERROR | Test failed. Screenshot saved: screenshots/test_verify_progress_bar[project_progress].png
02:11:51 | INFO | Navigating to https://crm.anhtester.com/admin
02:11:56 | INFO | Authenticated as: admin@example.com
02:11:56 | ERROR | Test failed. Screenshot saved: screenshots/test_verify_progress_bar[task_progress].png
